TEAM,AI TYPE,NAME,TOTAL,CAPTURES,DEFENDS,KILLS,DATE/TIME
==============================================
red,machine,xbot1,90,75,15,0,27042022-021917
red,machine,xbot2,0,0,0,0,27042022-021917
red,machine,xbot3,0,0,0,0,27042022-021917
red,machine,xbot4,0,0,0,0,27042022-021917
blue,machine,ybot1,100,90,10,0,27042022-021917
blue,machine,ybot2,0,0,0,0,27042022-021917
blue,machine,ybot3,0,0,0,0,27042022-021917
blue,machine,ybot4,0,0,0,0,27042022-021917
red,machine,xbot1,105,60,45,0,27042022-021917
red,machine,xbot2,0,0,0,0,27042022-021917
red,machine,xbot3,0,0,0,0,27042022-021917
red,machine,xbot4,0,0,0,0,27042022-021917
blue,machine,ybot1,75,75,0,0,27042022-021917
blue,machine,ybot2,0,0,0,0,27042022-021917
blue,machine,ybot3,0,0,0,0,27042022-021917
blue,machine,ybot4,0,0,0,0,27042022-021917
