TEAM,AI TYPE,NAME,TOTAL,CAPTURES,DEFENDS,KILLS,DATE/TIME
==============================================
red,machine,xbot1,100,90,10,0,27042022-043102
red,machine,xbot2,0,0,0,0,27042022-043102
red,machine,xbot3,0,0,0,0,27042022-043102
red,machine,xbot4,0,0,0,0,27042022-043102
blue,machine,ybot1,85,75,10,0,27042022-043102
blue,machine,ybot2,0,0,0,0,27042022-043102
blue,machine,ybot3,0,0,0,0,27042022-043102
blue,machine,ybot4,0,0,0,0,27042022-043102
red,machine,xbot1,110,75,35,0,27042022-043102
red,machine,xbot2,0,0,0,0,27042022-043102
red,machine,xbot3,0,0,0,0,27042022-043102
red,machine,xbot4,0,0,0,0,27042022-043102
blue,machine,ybot1,90,75,15,0,27042022-043102
blue,machine,ybot2,0,0,0,0,27042022-043102
blue,machine,ybot3,0,0,0,0,27042022-043102
blue,machine,ybot4,0,0,0,0,27042022-043102
