TEAM,AI TYPE,NAME,TOTAL,CAPTURES,DEFENDS,KILLS,DATE/TIME
==============================================
red,machine,xbot1,65,60,5,0,27042022-045102
red,machine,xbot2,0,0,0,0,27042022-045102
red,machine,xbot3,0,0,0,0,27042022-045102
red,machine,xbot4,0,0,0,0,27042022-045102
blue,machine,ybot1,100,60,40,0,27042022-045102
blue,machine,ybot2,0,0,0,0,27042022-045102
blue,machine,ybot3,0,0,0,0,27042022-045102
blue,machine,ybot4,0,0,0,0,27042022-045102
red,machine,xbot1,90,75,15,0,27042022-045102
red,machine,xbot2,0,0,0,0,27042022-045102
red,machine,xbot3,0,0,0,0,27042022-045102
red,machine,xbot4,0,0,0,0,27042022-045102
blue,machine,ybot1,100,90,10,0,27042022-045102
blue,machine,ybot2,0,0,0,0,27042022-045102
blue,machine,ybot3,0,0,0,0,27042022-045102
blue,machine,ybot4,0,0,0,0,27042022-045102
red,machine,xbot1,35,30,5,0,27042022-045102
red,machine,xbot2,0,0,0,0,27042022-045102
red,machine,xbot3,0,0,0,0,27042022-045102
red,machine,xbot4,0,0,0,0,27042022-045102
blue,machine,ybot1,100,60,40,0,27042022-045102
blue,machine,ybot2,0,0,0,0,27042022-045102
blue,machine,ybot3,0,0,0,0,27042022-045102
blue,machine,ybot4,0,0,0,0,27042022-045102
