TEAM,AI TYPE,NAME,TOTAL,CAPTURES,DEFENDS,KILLS,DATE/TIME
==============================================
red,machine,xbot1,90,90,0,0,27042022-044418
red,machine,xbot2,0,0,0,0,27042022-044418
red,machine,xbot3,0,0,0,0,27042022-044418
red,machine,xbot4,0,0,0,0,27042022-044418
blue,machine,ybot1,100,90,10,0,27042022-044418
blue,machine,ybot2,0,0,0,0,27042022-044418
blue,machine,ybot3,0,0,0,0,27042022-044418
blue,machine,ybot4,0,0,0,0,27042022-044418
red,machine,xbot1,105,75,30,0,27042022-044418
red,machine,xbot2,0,0,0,0,27042022-044418
red,machine,xbot3,0,0,0,0,27042022-044418
red,machine,xbot4,0,0,0,0,27042022-044418
blue,machine,ybot1,90,45,45,0,27042022-044418
blue,machine,ybot2,0,0,0,0,27042022-044418
blue,machine,ybot3,0,0,0,0,27042022-044418
blue,machine,ybot4,0,0,0,0,27042022-044418
red,machine,xbot1,100,90,10,0,27042022-044418
red,machine,xbot2,0,0,0,0,27042022-044418
red,machine,xbot3,0,0,0,0,27042022-044418
red,machine,xbot4,0,0,0,0,27042022-044418
blue,machine,ybot1,90,75,15,0,27042022-044418
blue,machine,ybot2,0,0,0,0,27042022-044418
blue,machine,ybot3,0,0,0,0,27042022-044418
blue,machine,ybot4,0,0,0,0,27042022-044418
