TEAM,AI TYPE,NAME,TOTAL,CAPTURES,DEFENDS,KILLS,DATE/TIME
==============================================
red,machine,xbot1,100,90,10,0,27042022-034342
red,machine,xbot2,0,0,0,0,27042022-034342
red,machine,xbot3,0,0,0,0,27042022-034342
red,machine,xbot4,0,0,0,0,27042022-034342
blue,machine,ybot1,85,75,10,0,27042022-034342
blue,machine,ybot2,0,0,0,0,27042022-034342
blue,machine,ybot3,0,0,0,0,27042022-034342
blue,machine,ybot4,0,0,0,0,27042022-034342
red,machine,xbot1,40,30,10,0,27042022-034342
red,machine,xbot2,0,0,0,0,27042022-034342
red,machine,xbot3,0,0,0,0,27042022-034342
red,machine,xbot4,0,0,0,0,27042022-034342
blue,machine,ybot1,100,60,40,0,27042022-034342
blue,machine,ybot2,0,0,0,0,27042022-034342
blue,machine,ybot3,0,0,0,0,27042022-034342
blue,machine,ybot4,0,0,0,0,27042022-034342
red,machine,xbot1,70,60,25,0,27042022-034342
red,machine,xbot2,0,0,0,0,27042022-034342
red,machine,xbot3,0,0,0,0,27042022-034342
red,machine,xbot4,0,0,0,0,27042022-034342
blue,machine,ybot1,105,75,30,0,27042022-034342
blue,machine,ybot2,0,0,0,0,27042022-034342
blue,machine,ybot3,0,0,0,0,27042022-034342
blue,machine,ybot4,0,0,0,0,27042022-034342
