TEAM,AI TYPE,NAME,TOTAL,CAPTURES,DEFENDS,KILLS,DATE/TIME
==============================================
red,machine,xbot1,105,105,0,0,27042022-043739
red,machine,xbot2,0,0,0,0,27042022-043739
red,machine,xbot3,0,0,0,0,27042022-043739
red,machine,xbot4,0,0,0,0,27042022-043739
blue,machine,ybot1,80,75,5,0,27042022-043739
blue,machine,ybot2,0,0,0,0,27042022-043739
blue,machine,ybot3,0,0,0,0,27042022-043739
blue,machine,ybot4,0,0,0,0,27042022-043739
red,machine,xbot1,95,90,5,0,27042022-043739
red,machine,xbot2,0,0,0,0,27042022-043739
red,machine,xbot3,0,0,0,0,27042022-043739
red,machine,xbot4,0,0,0,0,27042022-043739
blue,machine,ybot1,110,75,35,0,27042022-043739
blue,machine,ybot2,0,0,0,0,27042022-043739
blue,machine,ybot3,0,0,0,0,27042022-043739
blue,machine,ybot4,0,0,0,0,27042022-043739
red,machine,xbot1,85,60,25,0,27042022-043739
red,machine,xbot2,0,0,0,0,27042022-043739
red,machine,xbot3,0,0,0,0,27042022-043739
red,machine,xbot4,0,0,0,0,27042022-043739
blue,machine,ybot1,105,90,15,0,27042022-043739
blue,machine,ybot2,0,0,0,0,27042022-043739
blue,machine,ybot3,0,0,0,0,27042022-043739
blue,machine,ybot4,0,0,0,0,27042022-043739
