TEAM,AI TYPE,NAME,TOTAL,CAPTURES,DEFENDS,KILLS
==============================================
red,state,xbot2,30,15,15,0
red,state,xbot3,25,15,10,0
red,state,xbot1,35,15,20,0
red,state,xbot4,10,0,10,0
blue,state,ybot1,0,0,0,0
blue,state,ybot2,0,0,0,0
blue,state,ybot3,0,0,0,0
blue,state,ybot4,0,0,0,0
