TEAM,AI TYPE,NAME,TOTAL,CAPTURES,DEFENDS,KILLS
==============================================
red,State,xbot1,20,15,5,0
red,State,xbot2,30,15,15,0
red,State,xbot3,0,0,0,0
red,State,xbot4,0,0,0,0
blue,State,ybot1,65,30,35,0
blue,State,ybot2,35,0,35,0
blue,State,ybot3,0,0,0,0
blue,State,ybot4,0,0,0,0
