TEAM,AI TYPE,NAME,TOTAL,CAPTURES,DEFENDS,KILLS,DATE/TIME
==============================================
red,machine,xbot1,0,0,0,0,26042022-233701
red,machine,xbot2,0,0,0,0,26042022-233701
red,machine,xbot3,0,0,0,0,26042022-233701
red,machine,xbot4,0,0,0,0,26042022-233701
blue,machine,ybot1,100,30,75,0,26042022-233701
blue,machine,ybot2,0,0,0,0,26042022-233701
blue,machine,ybot3,0,0,0,0,26042022-233701
blue,machine,ybot4,0,0,0,0,26042022-233701
red,machine,xbot1,105,30,75,0,26042022-233701
red,machine,xbot2,0,0,0,0,26042022-233701
red,machine,xbot3,0,0,0,0,26042022-233701
red,machine,xbot4,0,0,0,0,26042022-233701
blue,machine,ybot1,50,30,20,0,26042022-233701
blue,machine,ybot2,0,0,0,0,26042022-233701
blue,machine,ybot3,0,0,0,0,26042022-233701
blue,machine,ybot4,0,0,0,0,26042022-233701
