TEAM,AI TYPE,NAME,TOTAL,CAPTURES,DEFENDS,KILLS,DATE/TIME
==============================================
red,machine,xbot1,105,90,15,0,27042022-040629
red,machine,xbot2,0,0,0,0,27042022-040629
red,machine,xbot3,0,0,0,0,27042022-040629
red,machine,xbot4,0,0,0,0,27042022-040629
blue,machine,ybot1,75,60,15,0,27042022-040629
blue,machine,ybot2,0,0,0,0,27042022-040629
blue,machine,ybot3,0,0,0,0,27042022-040629
blue,machine,ybot4,0,0,0,0,27042022-040629
red,machine,xbot1,70,45,25,0,27042022-040629
red,machine,xbot2,0,0,0,0,27042022-040629
red,machine,xbot3,0,0,0,0,27042022-040629
red,machine,xbot4,0,0,0,0,27042022-040629
blue,machine,ybot1,100,75,25,0,27042022-040629
blue,machine,ybot2,0,0,0,0,27042022-040629
blue,machine,ybot3,0,0,0,0,27042022-040629
blue,machine,ybot4,0,0,0,0,27042022-040629
